"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025年33週(08月11日～08月17日)","2025年08月20日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）","","COVID-19",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","980","0.28","1358","0.63","534","0.25","2093","0.97","5296","2.46","430","0.20","752","0.35","2495","1.16","496","0.23","1645","0.77","83","0.04","11","0.02","420","0.67","5","0.01","30","0.06","558","1.16","-","-","2","0.00","22288","6.30"
"北海道","21","0.14","53","0.61","22","0.25","127","1.46","160","1.84","12","0.14","189","2.17","140","1.61","14","0.16","107","1.23","-","-","-","-","7","0.28","-","-","2","0.09","38","1.65","-","-","-","-","577","3.82"
"青森県","20","0.39","3","0.09","5","0.15","19","0.56","37","1.09","8","0.24","6","0.18","7","0.21","8","0.24","9","0.26","2","0.06","-","-","-","-","-","-","1","0.17","8","1.33","-","-","-","-","338","6.63"
"岩手県","10","0.24","27","1.00","2","0.07","14","0.52","23","0.85","6","0.22","10","0.37","22","0.81","7","0.26","7","0.26","-","-","-","-","2","0.14","-","-","-","-","12","0.63","-","-","-","-","284","6.93"
"宮城県","11","0.20","39","1.26","5","0.16","16","0.52","47","1.52","4","0.13","3","0.10","44","1.42","9","0.29","18","0.58","-","-","-","-","-","-","-","-","-","-","18","1.80","-","-","-","-","213","3.87"
"秋田県","8","0.33","7","0.58","-","-","10","0.83","16","1.33","1","0.08","2","0.17","20","1.67","3","0.25","5","0.42","-","-","2","0.50","2","0.50","-","-","-","-","63","7.88","-","-","-","-","257","10.71"
"山形県","15","0.47","43","2.26","4","0.21","11","0.58","43","2.26","1","0.05","9","0.47","63","3.32","7","0.37","8","0.42","-","-","-","-","-","-","-","-","-","-","15","1.50","-","-","-","-","209","6.53"
"福島県","13","0.27","30","1.07","7","0.25","21","0.75","45","1.61","9","0.32","13","0.46","23","0.82","5","0.18","9","0.32","2","0.07","-","-","2","0.17","-","-","-","-","6","0.86","-","-","-","-","373","7.77"
"茨城県","12","0.19","31","0.86","17","0.47","69","1.92","76","2.11","13","0.36","8","0.22","46","1.28","6","0.17","48","1.33","1","0.03","-","-","42","3.00","-","-","-","-","25","1.92","-","-","-","-","674","10.87"
"栃木県","17","0.46","39","1.86","4","0.19","32","1.52","42","2.00","2","0.10","6","0.29","26","1.24","5","0.24","15","0.71","-","-","-","-","1","0.10","-","-","-","-","14","2.00","-","-","-","-","302","8.16"
"群馬県","6","0.18","12","0.63","5","0.26","14","0.74","62","3.26","3","0.16","7","0.37","30","1.58","4","0.21","10","0.53","1","0.05","-","-","15","1.25","-","-","-","-","32","3.56","-","-","-","-","187","5.67"
"埼玉県","38","0.30","38","0.46","33","0.40","226","2.76","234","2.85","52","0.63","36","0.44","94","1.15","31","0.38","101","1.23","8","0.10","-","-","36","1.20","-","-","2","0.17","14","1.17","-","-","-","-","1475","11.52"
"千葉県","31","0.20","34","0.35","21","0.22","87","0.91","194","2.02","25","0.26","27","0.28","66","0.69","13","0.14","54","0.56","2","0.02","1","0.03","37","1.19","-","-","-","-","1","0.11","-","-","-","-","906","5.81"
"東京都","83","0.24","142","0.64","49","0.22","233","1.05","749","3.37","48","0.22","87","0.39","39","0.18","59","0.27","182","0.82","8","0.04","-","-","9","0.31","-","-","-","-","20","0.80","-","-","1","0.04","1263","3.61"
"神奈川県","41","0.22","126","1.12","16","0.14","147","1.30","323","2.86","42","0.37","31","0.27","79","0.70","30","0.27","90","0.80","9","0.08","1","0.02","54","1.29","-","-","5","0.42","11","0.92","-","-","-","-","998","5.31"
"新潟県","22","0.41","33","1.10","7","0.23","47","1.57","79","2.63","2","0.07","9","0.30","67","2.23","6","0.20","36","1.20","-","-","-","-","2","0.20","-","-","1","0.08","9","0.69","-","-","-","-","423","7.83"
"富山県","1","0.02","16","0.62","5","0.19","18","0.69","90","3.46","3","0.12","11","0.42","31","1.19","15","0.58","30","1.15","2","0.08","-","-","2","0.29","-","-","-","-","7","1.40","-","-","-","-","156","3.63"
"石川県","8","0.17","25","0.89","6","0.21","19","0.68","113","4.04","5","0.18","2","0.07","38","1.36","7","0.25","60","2.14","1","0.04","-","-","11","1.57","-","-","-","-","5","1.00","-","-","-","-","233","4.96"
"福井県","6","0.15","10","0.40","13","0.52","32","1.28","132","5.28","6","0.24","4","0.16","41","1.64","3","0.12","35","1.40","2","0.08","-","-","-","-","-","-","1","0.17","7","1.17","-","-","-","-","194","4.97"
"山梨県","4","0.11","2","0.10","2","0.10","-","-","41","1.95","-","-","5","0.24","14","0.67","2","0.10","1","0.05","-","-","-","-","5","0.56","-","-","-","-","3","0.30","-","-","-","-","163","4.66"
"長野県","11","0.15","8","0.18","4","0.09","41","0.93","77","1.75","8","0.18","11","0.25","35","0.80","4","0.09","19","0.43","1","0.02","-","-","3","0.43","-","-","1","0.08","10","0.83","-","-","-","-","445","6.18"
"岐阜県","10","0.22","10","0.37","18","0.67","22","0.81","137","5.07","3","0.11","6","0.22","40","1.48","9","0.33","17","0.63","1","0.04","-","-","2","0.18","-","-","-","-","5","1.00","-","-","-","-","469","10.42"
"静岡県","18","0.13","91","1.02","19","0.21","51","0.57","195","2.19","12","0.13","17","0.19","151","1.70","17","0.19","74","0.83","3","0.03","-","-","11","0.50","-","-","2","0.20","7","0.70","-","-","-","-","750","5.40"
"愛知県","53","0.33","26","0.26","20","0.20","34","0.34","141","1.40","2","0.02","13","0.13","133","1.32","19","0.19","50","0.50","2","0.02","-","-","16","0.46","1","0.07","2","0.13","22","1.47","-","-","-","-","1671","10.25"
"三重県","9","0.15","20","0.54","8","0.22","31","0.84","109","2.95","6","0.16","10","0.27","80","2.16","2","0.05","50","1.35","2","0.05","-","-","12","1.33","-","-","-","-","7","0.78","-","-","-","-","394","6.35"
"滋賀県","9","0.17","4","0.13","5","0.16","18","0.58","68","2.19","8","0.26","17","0.55","70","2.26","5","0.16","17","0.55","7","0.23","-","-","4","0.44","1","0.14","-","-","2","0.29","-","-","-","-","291","5.49"
"京都府","21","0.33","6","0.16","6","0.16","67","1.81","63","1.70","7","0.19","15","0.41","41","1.11","8","0.22","32","0.86","-","-","-","-","5","0.29","-","-","1","0.14","8","1.14","-","-","-","-","445","6.95"
"大阪府","39","0.13","105","0.57","44","0.24","61","0.33","287","1.55","12","0.06","26","0.14","144","0.78","19","0.10","140","0.76","4","0.02","3","0.06","22","0.42","1","0.06","-","-","3","0.17","-","-","-","-","985","3.38"
"兵庫県","39","0.26","20","0.21","24","0.25","58","0.60","196","2.04","15","0.16","17","0.18","84","0.88","16","0.17","41","0.43","2","0.02","1","0.03","2","0.06","1","0.07","5","0.36","7","0.50","-","-","-","-","740","5.00"
"奈良県","5","0.15","11","0.58","2","0.11","4","0.21","71","3.74","1","0.05","27","1.42","30","1.58","7","0.37","14","0.74","1","0.05","-","-","2","0.33","-","-","-","-","9","1.50","-","-","-","-","189","5.73"
"和歌山県","41","0.93","16","0.59","4","0.15","11","0.41","50","1.85","8","0.30","5","0.19","76","2.81","3","0.11","34","1.26","2","0.07","-","-","1","0.33","-","-","-","-","4","0.36","-","-","-","-","319","7.25"
"鳥取県","9","0.31","4","0.21","2","0.11","35","1.84","68","3.58","2","0.11","1","0.05","5","0.26","2","0.11","3","0.16","1","0.05","-","-","1","0.20","-","-","1","0.20","12","2.40","-","-","-","-","185","6.38"
"島根県","-","-","5","0.45","5","0.45","3","0.27","59","5.36","6","0.55","-","-","25","2.27","6","0.55","1","0.09","1","0.09","-","-","-","-","-","-","1","0.13","4","0.50","-","-","-","-","169","8.45"
"岡山県","12","0.24","21","0.75","4","0.14","18","0.64","70","2.50","11","0.39","8","0.29","14","0.50","9","0.32","31","1.11","2","0.07","-","-","-","-","-","-","-","-","8","1.60","-","-","-","-","366","7.32"
"広島県","17","0.20","15","0.31","5","0.10","47","0.98","119","2.48","4","0.08","11","0.23","65","1.35","12","0.25","18","0.38","1","0.02","-","-","14","0.88","-","-","1","0.05","39","1.95","-","-","-","-","417","5.02"
"山口県","16","0.25","37","0.93","2","0.05","49","1.23","95","2.38","11","0.28","8","0.20","32","0.80","12","0.30","14","0.35","1","0.03","-","-","4","0.44","-","-","-","-","13","1.44","-","-","1","0.11","324","5.14"
"徳島県","11","0.32","9","0.43","2","0.10","8","0.38","43","2.05","2","0.10","2","0.10","4","0.19","3","0.14","28","1.33","1","0.05","-","-","-","-","-","-","-","-","15","2.14","-","-","-","-","148","4.35"
"香川県","12","0.30","19","0.73","2","0.08","12","0.46","127","4.88","4","0.15","6","0.23","30","1.15","5","0.19","25","0.96","4","0.15","-","-","-","-","-","-","-","-","7","1.40","-","-","-","-","260","6.50"
"愛媛県","8","0.22","21","1.05","18","0.90","58","2.90","66","3.30","5","0.25","4","0.20","33","1.65","5","0.25","33","1.65","-","-","-","-","26","3.25","-","-","-","-","2","0.33","-","-","-","-","195","5.27"
"高知県","44","1.16","12","0.60","6","0.30","15","0.75","49","2.45","3","0.15","17","0.85","15","0.75","6","0.30","16","0.80","-","-","-","-","4","1.33","-","-","-","-","9","1.13","-","-","-","-","299","7.87"
"福岡県","20","0.16","70","1.00","23","0.33","100","1.43","181","2.59","16","0.23","36","0.51","132","1.89","23","0.33","15","0.21","4","0.06","3","0.12","4","0.15","1","0.07","2","0.13","12","0.80","-","-","-","-","855","7.01"
"佐賀県","5","0.21","6","0.50","4","0.33","6","0.50","27","2.25","-","-","-","-","27","2.25","2","0.17","2","0.17","-","-","-","-","-","-","-","-","-","-","1","0.17","-","-","-","-","213","8.88"
"長崎県","9","0.18","13","0.42","7","0.23","36","1.16","40","1.29","8","0.26","2","0.06","54","1.74","5","0.16","16","0.52","2","0.06","-","-","7","1.00","-","-","-","-","8","0.67","-","-","-","-","371","7.27"
"熊本県","5","0.07","11","0.23","10","0.21","20","0.42","105","2.19","7","0.15","7","0.15","57","1.19","18","0.38","35","0.73","-","-","-","-","8","0.89","-","-","1","0.07","17","1.13","-","-","-","-","600","8.45"
"大分県","3","0.05","19","0.53","27","0.75","55","1.53","128","3.56","11","0.31","2","0.06","115","3.19","13","0.36","32","0.89","1","0.03","-","-","5","1.00","-","-","-","-","-","-","-","-","-","-","466","8.03"
"宮崎県","3","0.11","9","0.64","5","0.36","19","1.36","45","3.21","1","0.07","1","0.07","27","1.93","10","0.71","18","1.29","1","0.07","-","-","11","1.83","-","-","-","-","4","0.57","-","-","-","-","398","14.74"
"鹿児島県","20","0.35","35","1.13","19","0.61","45","1.45","105","3.39","12","0.39","5","0.16","57","1.84","13","0.42","38","1.23","1","0.03","-","-","4","0.57","-","-","-","-","15","1.25","-","-","-","-","720","12.63"
"沖縄県","164","3.64","25","1.00","16","0.64","27","1.08","69","2.76","3","0.12","13","0.52","29","1.16","9","0.36","7","0.28","-","-","-","-","25","2.78","-","-","1","0.14","-","-","-","-","-","-","379","8.42"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
