"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026年21週(05月18日～05月24日)","2026年05月27日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）","","COVID-19",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","346","0.09","678","0.30","1034","0.46","6927","3.07","11886","5.27","870","0.39","2213","0.98","182","0.08","811","0.36","443","0.20","109","0.05","10","0.01","316","0.46","14","0.03","22","0.05","108","0.22","2","0.00","25","0.05","1348","0.36"
"北海道","18","0.11","13","0.13","65","0.66","459","4.68","484","4.94","34","0.35","5","0.05","7","0.07","23","0.23","-","-","1","0.01","-","-","2","0.07","-","-","-","-","3","0.13","-","-","4","0.17","30","0.18"
"青森県","4","0.08","5","0.15","3","0.09","57","1.68","106","3.12","10","0.29","8","0.24","-","-","8","0.24","-","-","1","0.03","-","-","-","-","-","-","-","-","3","0.50","-","-","-","-","16","0.31"
"岩手県","6","0.14","9","0.33","14","0.52","103","3.81","159","5.89","-","-","1","0.04","4","0.15","16","0.59","1","0.04","1","0.04","-","-","7","0.50","-","-","-","-","3","0.16","-","-","-","-","49","1.17"
"宮城県","11","0.20","8","0.26","15","0.48","68","2.19","128","4.13","6","0.19","4","0.13","2","0.06","10","0.32","-","-","-","-","-","-","7","0.58","-","-","1","0.10","1","0.10","-","-","-","-","37","0.67"
"秋田県","1","0.04","2","0.15","1","0.08","26","2.00","52","4.00","2","0.15","-","-","3","0.23","4","0.31","-","-","-","-","-","-","1","0.14","-","-","-","-","2","0.25","-","-","-","-","22","0.88"
"山形県","7","0.18","7","0.27","21","0.81","127","4.88","93","3.58","32","1.23","16","0.62","1","0.04","12","0.46","2","0.08","2","0.08","-","-","2","0.25","-","-","-","-","1","0.10","-","-","-","-","28","0.72"
"福島県","1","0.02","7","0.25","3","0.11","64","2.29","113","4.04","11","0.39","4","0.14","-","-","9","0.32","1","0.04","-","-","-","-","5","0.38","-","-","-","-","3","0.43","-","-","1","0.14","28","0.58"
"茨城県","16","0.24","4","0.11","16","0.43","168","4.54","158","4.27","7","0.19","2","0.05","2","0.05","11","0.30","3","0.08","2","0.05","-","-","16","0.94","-","-","2","0.15","10","0.77","-","-","2","0.15","21","0.31"
"栃木県","1","0.02","4","0.15","2","0.07","111","4.11","119","4.41","9","0.33","-","-","-","-","10","0.37","-","-","1","0.04","-","-","10","0.83","-","-","-","-","1","0.14","-","-","1","0.14","14","0.30"
"群馬県","5","0.11","4","0.16","7","0.28","108","4.32","170","6.80","13","0.52","4","0.16","-","-","10","0.40","4","0.16","1","0.04","-","-","1","0.10","-","-","-","-","4","0.44","1","0.11","-","-","17","0.38"
"埼玉県","9","0.05","27","0.25","38","0.35","362","3.29","667","6.06","57","0.52","66","0.60","8","0.07","42","0.38","18","0.16","15","0.14","6","0.14","16","0.37","-","-","-","-","3","0.25","-","-","1","0.08","60","0.34"
"千葉県","11","0.06","22","0.21","29","0.27","297","2.78","418","3.91","58","0.54","61","0.57","3","0.03","39","0.36","20","0.19","6","0.06","-","-","13","0.38","-","-","-","-","-","-","-","-","1","0.11","96","0.54"
"東京都","24","0.06","55","0.21","79","0.30","523","2.00","1510","5.76","86","0.33","122","0.47","11","0.04","107","0.41","34","0.13","16","0.06","-","-","8","0.21","-","-","5","0.20","1","0.04","1","0.04","3","0.12","64","0.15"
"神奈川県","17","0.07","50","0.35","17","0.12","348","2.43","657","4.59","49","0.34","81","0.57","2","0.01","64","0.45","16","0.11","11","0.08","-","-","37","0.74","1","0.08","3","0.25","4","0.33","-","-","2","0.17","34","0.14"
"新潟県","1","0.02","9","0.30","12","0.40","132","4.40","124","4.13","15","0.50","6","0.20","18","0.60","6","0.20","-","-","1","0.03","2","0.20","5","0.50","-","-","-","-","5","0.38","-","-","1","0.08","12","0.22"
