"date","pref","category","value","year","week_label_clean"
"2012-09-16","山形県","感染性胃腸炎",3.17,2012,"9月10日～9月16日（2012年）"
"2012-09-23","山形県","感染性胃腸炎",2.9,2012,"9月17日～9月23日（2012年）"
"2012-09-30","山形県","感染性胃腸炎",2.23,2012,"9月24日～9月30日（2012年）"
"2012-10-07","山形県","感染性胃腸炎",2.33,2012,"10月1日～10月7日（2012年）"
"2012-10-14","山形県","感染性胃腸炎",2.76,2012,"10月8日～10月14日（2012年）"
"2012-10-21","山形県","感染性胃腸炎",2.37,2012,"10月15日～10月21日（2012年）"
"2012-10-28","山形県","感染性胃腸炎",2.31,2012,"10月22日～10月28日（2012年）"
"2012-11-04","山形県","感染性胃腸炎",2.93,2012,"10月29日～11月4日（2012年）"
"2012-11-11","山形県","感染性胃腸炎",3,2012,"11月5日～11月11日（2012年）"
"2012-11-18","山形県","感染性胃腸炎",5,2012,"11月12日～11月18日（2012年）"
"2012-11-25","山形県","感染性胃腸炎",8.77,2012,"11月19日～11月25日（2012年）"
"2012-12-02","山形県","感染性胃腸炎",15.7,2012,"11月26日～12月2日（2012年）"
"2012-12-09","山形県","感染性胃腸炎",23.6,2012,"12月3日～12月9日（2012年）"
"2012-12-16","山形県","感染性胃腸炎",23.57,2012,"12月10日～12月16日（2012年）"
"2012-12-23","山形県","感染性胃腸炎",22.5,2012,"12月17日～12月23日（2012年）"
"2012-12-30","山形県","感染性胃腸炎",14.7,2012,"12月24日～12月30日（2012年）"
"2013-01-06","山形県","感染性胃腸炎",3.15,2013,"12月31日～1月6日（2013年）"
"2013-01-13","山形県","感染性胃腸炎",9.5,2013,"1月7日～1月13日（2013年）"
"2013-01-20","山形県","感染性胃腸炎",6.63,2013,"1月14日～1月20日（2013年）"
"2013-01-27","山形県","感染性胃腸炎",6.9,2013,"1月21日～1月27日（2013年）"
"2013-02-03","山形県","感染性胃腸炎",7.4,2013,"1月28日～2月3日（2013年）"
"2013-02-10","山形県","感染性胃腸炎",6.63,2013,"2月4日～2月10日（2013年）"
"2013-02-17","山形県","感染性胃腸炎",6.67,2013,"2月11日～2月17日（2013年）"
"2013-02-24","山形県","感染性胃腸炎",8.97,2013,"2月18日～2月24日（2013年）"
"2013-03-03","山形県","感染性胃腸炎",8.6,2013,"2月25日～3月3日（2013年）"
"2013-03-10","山形県","感染性胃腸炎",10.53,2013,"3月4日～3月10日（2013年）"
"2013-03-17","山形県","感染性胃腸炎",11.27,2013,"3月11日～3月17日（2013年）"
"2013-03-24","山形県","感染性胃腸炎",9.07,2013,"3月18日～3月24日（2013年）"
"2013-03-31","山形県","感染性胃腸炎",9.3,2013,"3月25日～3月31日（2013年）"
"2013-04-07","山形県","感染性胃腸炎",8.23,2013,"4月1日～4月7日（2013年）"
