"date","pref","category","value","year","week_label_clean"
"2012-09-16","岡山県","インフルエンザ",0.04,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","咽頭結膜熱",0.06,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","A群溶血性レンサ球菌咽頭炎",0.46,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","感染性胃腸炎",4,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","水痘",0.52,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","手足口病",0.15,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","伝染性紅斑",0.06,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","突発性発しん",0.63,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","百日咳",0.07,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","ヘルパンギーナ",0.83,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","流行性耳下腺炎",0.31,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","急性出血性結膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","流行性角結膜炎",0.25,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","細菌性髄膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","無菌性髄膜炎",0.2,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","マイコプラズマ肺炎",1,2012,"9月10日～9月16日（2012年）"
"2012-09-16","岡山県","クラミジア肺炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-23","岡山県","インフルエンザ",0.02,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","咽頭結膜熱",0.07,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","A群溶血性レンサ球菌咽頭炎",0.44,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","感染性胃腸炎",4.22,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","水痘",0.31,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","手足口病",0.07,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","伝染性紅斑",0.02,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","突発性発しん",0.37,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","百日咳",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","ヘルパンギーナ",0.52,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","流行性耳下腺炎",0.31,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","急性出血性結膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","流行性角結膜炎",0.83,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","細菌性髄膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","無菌性髄膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","マイコプラズマ肺炎",1.2,2012,"9月17日～9月23日（2012年）"
"2012-09-23","岡山県","クラミジア肺炎",0.2,2012,"9月17日～9月23日（2012年）"
"2012-09-30","岡山県","インフルエンザ",0.01,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","咽頭結膜熱",0.06,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","A群溶血性レンサ球菌咽頭炎",0.44,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","感染性胃腸炎",4.09,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","水痘",0.33,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","手足口病",0.17,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","伝染性紅斑",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","突発性発しん",0.44,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","百日咳",0.02,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","ヘルパンギーナ",0.67,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","流行性耳下腺炎",0.35,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","急性出血性結膜炎",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","流行性角結膜炎",0.83,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","細菌性髄膜炎",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","無菌性髄膜炎",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","マイコプラズマ肺炎",0.8,2012,"9月24日～9月30日（2012年）"
"2012-09-30","岡山県","クラミジア肺炎",0,2012,"9月24日～9月30日（2012年）"
"2012-10-07","岡山県","インフルエンザ",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","咽頭結膜熱",0.06,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","A群溶血性レンサ球菌咽頭炎",0.69,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","感染性胃腸炎",3.15,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","水痘",0.52,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","手足口病",0.17,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","伝染性紅斑",0.02,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","突発性発しん",0.57,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","百日咳",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","ヘルパンギーナ",0.44,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","流行性耳下腺炎",0.15,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","急性出血性結膜炎",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","流行性角結膜炎",0.58,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","細菌性髄膜炎",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","無菌性髄膜炎",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","マイコプラズマ肺炎",0.8,2012,"10月1日～10月7日（2012年）"
"2012-10-07","岡山県","クラミジア肺炎",0,2012,"10月1日～10月7日（2012年）"
"2012-10-14","岡山県","インフルエンザ",0,2012,"10月8日～10月14日（2012年）"
"2012-10-14","岡山県","咽頭結膜熱",0.06,2012,"10月8日～10月14日（2012年）"
"2012-10-14","岡山県","A群溶血性レンサ球菌咽頭炎",0.3,2012,"10月8日～10月14日（2012年）"
"2012-10-14","岡山県","感染性胃腸炎",3.89,2012,"10月8日～10月14日（2012年）"
"2012-10-14","岡山県","水痘",0.46,2012,"10月8日～10月14日（2012年）"
"2012-10-14","岡山県","手足口病",0.02,2012,"10月8日～10月14日（2012年）"
"2012-10-14","岡山県","伝染性紅斑",0.04,2012,"10月8日～10月14日（2012年）"
"2012-10-14","岡山県","突発性発しん",0.44,2012,"10月8日～10月14日（2012年）"
"2012-10-14","岡山県","百日咳",0.02,2012,"10月8日～10月14日（2012年）"
"2012-10-14","岡山県","ヘルパンギーナ",0.2,2012,"10月8日～10月14日（2012年）"
