"date","pref","category","value","year","week_label_clean"
"2012-09-16","広島県","インフルエンザ",0.01,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","咽頭結膜熱",0.24,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","A群溶血性レンサ球菌咽頭炎",1.11,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","感染性胃腸炎",3.29,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","水痘",0.42,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","手足口病",0.15,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","伝染性紅斑",0.04,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","突発性発しん",0.51,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","百日咳",0.08,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","ヘルパンギーナ",0.25,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","流行性耳下腺炎",0.33,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","急性出血性結膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","流行性角結膜炎",0.53,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","細菌性髄膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","無菌性髄膜炎",0.1,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","マイコプラズマ肺炎",0.48,2012,"9月10日～9月16日（2012年）"
"2012-09-16","広島県","クラミジア肺炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-23","広島県","インフルエンザ",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","咽頭結膜熱",0.06,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","A群溶血性レンサ球菌咽頭炎",0.6,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","感染性胃腸炎",2.47,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","水痘",0.71,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","手足口病",0.1,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","伝染性紅斑",0.08,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","突発性発しん",0.53,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","百日咳",0.04,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","ヘルパンギーナ",0.32,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","流行性耳下腺炎",0.18,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","急性出血性結膜炎",0.05,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","流行性角結膜炎",0.68,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","細菌性髄膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","無菌性髄膜炎",0.19,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","マイコプラズマ肺炎",0.24,2012,"9月17日～9月23日（2012年）"
"2012-09-23","広島県","クラミジア肺炎",0,2012,"9月17日～9月23日（2012年）"
