"date","pref","category","value","year","week_label_clean"
"2012-09-16","徳島県","インフルエンザ",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","咽頭結膜熱",0.17,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","A群溶血性レンサ球菌咽頭炎",0.57,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","感染性胃腸炎",4.3,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","水痘",0.83,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","手足口病",0.26,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","伝染性紅斑",0.3,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","突発性発しん",0.91,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","百日咳",0.04,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","ヘルパンギーナ",1.13,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","流行性耳下腺炎",0.17,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","急性出血性結膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","流行性角結膜炎",0.5,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","細菌性髄膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","無菌性髄膜炎",0.2,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","マイコプラズマ肺炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","徳島県","クラミジア肺炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-23","徳島県","インフルエンザ",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","咽頭結膜熱",0.3,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","A群溶血性レンサ球菌咽頭炎",0.78,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","感染性胃腸炎",4.22,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","水痘",1.09,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","手足口病",0.17,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","伝染性紅斑",0.26,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","突発性発しん",0.65,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","百日咳",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","ヘルパンギーナ",0.39,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","流行性耳下腺炎",0.17,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","急性出血性結膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","流行性角結膜炎",0.25,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","細菌性髄膜炎",0.2,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","無菌性髄膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","マイコプラズマ肺炎",0.2,2012,"9月17日～9月23日（2012年）"
"2012-09-23","徳島県","クラミジア肺炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-30","徳島県","インフルエンザ",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","咽頭結膜熱",0.17,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","A群溶血性レンサ球菌咽頭炎",0.96,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","感染性胃腸炎",3.43,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","水痘",0.74,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","手足口病",0.04,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","伝染性紅斑",0.22,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","突発性発しん",0.83,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","百日咳",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","ヘルパンギーナ",0.57,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","流行性耳下腺炎",0.3,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","急性出血性結膜炎",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","流行性角結膜炎",0.25,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","細菌性髄膜炎",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","無菌性髄膜炎",0.2,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","マイコプラズマ肺炎",0.2,2012,"9月24日～9月30日（2012年）"
"2012-09-30","徳島県","クラミジア肺炎",0,2012,"9月24日～9月30日（2012年）"
"2012-10-07","徳島県","インフルエンザ",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","咽頭結膜熱",0.17,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","A群溶血性レンサ球菌咽頭炎",0.74,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","感染性胃腸炎",3.39,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","水痘",1.13,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","手足口病",0.04,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","伝染性紅斑",0.17,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","突発性発しん",1.04,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","百日咳",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","ヘルパンギーナ",0.43,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","流行性耳下腺炎",0.09,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","急性出血性結膜炎",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","流行性角結膜炎",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","細菌性髄膜炎",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","無菌性髄膜炎",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","マイコプラズマ肺炎",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","徳島県","クラミジア肺炎",0,2012,"10月1日～10月7日（2012年）"
"2012-10-14","徳島県","インフルエンザ",0,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","咽頭結膜熱",0,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","A群溶血性レンサ球菌咽頭炎",0.78,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","感染性胃腸炎",4.09,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","水痘",1.09,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","手足口病",0,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","伝染性紅斑",0.3,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","突発性発しん",1.22,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","百日咳",0.04,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","ヘルパンギーナ",0.09,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","流行性耳下腺炎",0.17,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","急性出血性結膜炎",0,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","流行性角結膜炎",0.25,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","細菌性髄膜炎",0,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","無菌性髄膜炎",0,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","マイコプラズマ肺炎",0.2,2012,"10月8日～10月14日（2012年）"
"2012-10-14","徳島県","クラミジア肺炎",0,2012,"10月8日～10月14日（2012年）"
"2012-10-21","徳島県","インフルエンザ",0,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","咽頭結膜熱",0.35,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","A群溶血性レンサ球菌咽頭炎",1.04,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","感染性胃腸炎",5.09,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","水痘",1,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","手足口病",0,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","伝染性紅斑",0.17,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","突発性発しん",0.87,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","百日咳",0,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","ヘルパンギーナ",0.04,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","流行性耳下腺炎",0.17,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","急性出血性結膜炎",0,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","流行性角結膜炎",0,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","細菌性髄膜炎",0,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","無菌性髄膜炎",0,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","マイコプラズマ肺炎",0.2,2012,"10月15日～10月21日（2012年）"
"2012-10-21","徳島県","クラミジア肺炎",0,2012,"10月15日～10月21日（2012年）"
"2012-10-28","徳島県","インフルエンザ",0,2012,"10月22日～10月28日（2012年）"
"2012-10-28","徳島県","咽頭結膜熱",0.57,2012,"10月22日～10月28日（2012年）"
"2012-10-28","徳島県","A群溶血性レンサ球菌咽頭炎",1.26,2012,"10月22日～10月28日（2012年）"
"2012-10-28","徳島県","感染性胃腸炎",4,2012,"10月22日～10月28日（2012年）"
"2012-10-28","徳島県","水痘",1.39,2012,"10月22日～10月28日（2012年）"
"2012-10-28","徳島県","手足口病",0,2012,"10月22日～10月28日（2012年）"
"2012-10-28","徳島県","伝染性紅斑",0.17,2012,"10月22日～10月28日（2012年）"
"2012-10-28","徳島県","突発性発しん",0.83,2012,"10月22日～10月28日（2012年）"
"2012-10-28","徳島県","百日咳",0,2012,"10月22日～10月28日（2012年）"
