"category","pref","year_week","reference_date","current_value","current_ma4","baseline_ma4","ratio_heinen","alert_start","ratio_alert","ratio_wow","in_alert_level"
"A群溶血性レンサ球菌咽頭炎","三重県","2026-19","2026-05-10",1.05,1.81,2.1675,0.84,8,0.13,0.4953,FALSE
"RSウイルス","三重県","2026-19","2026-05-10",0.19,0.46,1.5116666666666667,0.3,NA,NA,0.3878,FALSE
"インフルエンザ","三重県","2026-19","2026-05-10",0.12,0.2375,1.9625,0.12,30,0,0.48,FALSE
"クラミジア肺炎","三重県","2026-19","2026-05-10",0,0,0,NA,NA,NA,NA,FALSE
"ヘルパンギーナ","三重県","2026-19","2026-05-10",0.02,0.052500000000000005,0.04666666666666667,1.12,6,0,0.2857,FALSE
"マイコプラズマ肺炎","三重県","2026-19","2026-05-10",0.33,0.165,0.11083333333333334,1.49,NA,NA,3,FALSE
"伝染性紅斑","三重県","2026-19","2026-05-10",0,0.030000000000000002,0.46416666666666667,0.06,2,0,0,FALSE
"咽頭結膜熱","三重県","2026-19","2026-05-10",0.35,0.36750000000000005,0.5158333333333334,0.71,3,0.12,1,FALSE
"急性出血性結膜炎","三重県","2026-19","2026-05-10",0,0.02,0,NA,1,0,NA,FALSE
"感染性胃腸炎","三重県","2026-19","2026-05-10",2.63,5.0075,5.550833333333333,0.9,20,0.13,0.4852,FALSE
"感染性胃腸炎（ロタウイルス）","三重県","2026-19","2026-05-10",0.33,0.1925,0.03666666666666667,5.25,NA,NA,3,FALSE
"手足口病","三重県","2026-19","2026-05-10",0.05,0.0425,0.33749999999999997,0.13,5,0.01,1,FALSE
"新型コロナウイルス","三重県","2026-19","2026-05-10",0.25,0.35,1.53125,0.23,NA,NA,0.7143,FALSE
"水痘","三重県","2026-19","2026-05-10",0.12,0.1575,0.11666666666666667,1.35,2,0.06,0.6316,FALSE
"流行性耳下腺炎","三重県","2026-19","2026-05-10",0,0.015,0.02416666666666667,0.62,6,0,0,FALSE
"流行性角結膜炎","三重県","2026-19","2026-05-10",0.18,0.2625,0.05583333333333333,4.7,8,0.02,1,FALSE
