pref,category,year_week,ma4,weekly_value,yr,wk
三重県,A群溶血性レンサ球菌咽頭炎,2013-01,1.3474999999999997,0.24,2013,1
三重県,A群溶血性レンサ球菌咽頭炎,2013-02,1.3375,1.36,2013,2
三重県,A群溶血性レンサ球菌咽頭炎,2013-03,1.2675,1.36,2013,3
三重県,A群溶血性レンサ球菌咽頭炎,2013-04,1.1400000000000001,1.6,2013,4
三重県,A群溶血性レンサ球菌咽頭炎,2013-05,1.4475000000000002,1.47,2013,5
三重県,A群溶血性レンサ球菌咽頭炎,2013-06,1.4800000000000002,1.49,2013,6
三重県,A群溶血性レンサ球菌咽頭炎,2013-07,1.4674999999999998,1.31,2013,7
三重県,A群溶血性レンサ球菌咽頭炎,2013-08,1.4275,1.44,2013,8
三重県,A群溶血性レンサ球菌咽頭炎,2013-09,1.465,1.62,2013,9
三重県,A群溶血性レンサ球菌咽頭炎,2013-10,1.37,1.11,2013,10
三重県,A群溶血性レンサ球菌咽頭炎,2013-11,1.37,1.31,2013,11
三重県,A群溶血性レンサ球菌咽頭炎,2013-12,1.27,1.04,2013,12
三重県,A群溶血性レンサ球菌咽頭炎,2013-13,1.1425,1.11,2013,13
三重県,A群溶血性レンサ球菌咽頭炎,2013-14,1.12,1.02,2013,14
三重県,A群溶血性レンサ球菌咽頭炎,2013-15,1.0325,0.96,2013,15
三重県,A群溶血性レンサ球菌咽頭炎,2013-16,1.055,1.13,2013,16
三重県,A群溶血性レンサ球菌咽頭炎,2013-17,1.245,1.87,2013,17
三重県,A群溶血性レンサ球菌咽頭炎,2013-18,1.1625,0.69,2013,18
三重県,A群溶血性レンサ球菌咽頭炎,2013-19,1.1625,0.96,2013,19
三重県,A群溶血性レンサ球菌咽頭炎,2013-20,1.1524999999999999,1.09,2013,20
三重県,A群溶血性レンサ球菌咽頭炎,2013-21,0.9400000000000001,1.02,2013,21
三重県,A群溶血性レンサ球菌咽頭炎,2013-22,1.0775,1.24,2013,22
三重県,A群溶血性レンサ球菌咽頭炎,2013-23,1.0925,1.02,2013,23
三重県,A群溶血性レンサ球菌咽頭炎,2013-24,1.06,0.96,2013,24
三重県,A群溶血性レンサ球菌咽頭炎,2013-25,1.0375,0.93,2013,25
三重県,A群溶血性レンサ球菌咽頭炎,2013-26,0.9,0.69,2013,26
三重県,A群溶血性レンサ球菌咽頭炎,2013-27,0.835,0.76,2013,27
三重県,A群溶血性レンサ球菌咽頭炎,2013-28,0.75,0.62,2013,28
三重県,A群溶血性レンサ球菌咽頭炎,2013-29,0.6275,0.44,2013,29
