pref,category,year_week,ma4,weekly_value,yr,wk
三重県,A群溶血性レンサ球菌咽頭炎,2025-01,2.1675,0.6,2025,1
三重県,A群溶血性レンサ球菌咽頭炎,2025-02,1.8675000000000002,1.49,2025,2
三重県,A群溶血性レンサ球菌咽頭炎,2025-03,1.605,1.84,2025,3
三重県,A群溶血性レンサ球菌咽頭炎,2025-05,1.4949999999999999,2.05,2025,5
三重県,A群溶血性レンサ球菌咽頭炎,2025-06,1.9125,2.27,2025,6
三重県,A群溶血性レンサ球菌咽頭炎,2025-07,2,1.84,2025,7
三重県,A群溶血性レンサ球菌咽頭炎,2025-08,2.1624999999999996,2.49,2025,8
三重県,A群溶血性レンサ球菌咽頭炎,2025-09,2.1275,1.91,2025,9
三重県,A群溶血性レンサ球菌咽頭炎,2025-10,2,1.76,2025,10
三重県,A群溶血性レンサ球菌咽頭炎,2025-11,2.23,2.76,2025,11
三重県,A群溶血性レンサ球菌咽頭炎,2025-12,2.1075,2,2025,12
三重県,A群溶血性レンサ球菌咽頭炎,2025-13,2.0625,1.73,2025,13
三重県,A群溶血性レンサ球菌咽頭炎,2025-14,2.155,2.13,2025,14
三重県,A群溶血性レンサ球菌咽頭炎,2025-15,1.795,1.32,2025,15
三重県,A群溶血性レンサ球菌咽頭炎,2025-16,1.8399999999999999,2.18,2025,16
三重県,A群溶血性レンサ球菌咽頭炎,2025-17,1.935,2.11,2025,17
三重県,A群溶血性レンサ球菌咽頭炎,2025-18,1.77,1.47,2025,18
三重県,A群溶血性レンサ球菌咽頭炎,2025-19,1.88,1.76,2025,19
三重県,A群溶血性レンサ球菌咽頭炎,2025-20,1.875,2.16,2025,20
三重県,A群溶血性レンサ球菌咽頭炎,2025-21,1.96,2.45,2025,21
三重県,A群溶血性レンサ球菌咽頭炎,2025-22,2.2,2.43,2025,22
三重県,A群溶血性レンサ球菌咽頭炎,2025-23,2.4350000000000005,2.7,2025,23
三重県,A群溶血性レンサ球菌咽頭炎,2025-24,2.5250000000000004,2.52,2025,24
三重県,A群溶血性レンサ球菌咽頭炎,2025-25,2.5250000000000004,2.45,2025,25
三重県,A群溶血性レンサ球菌咽頭炎,2025-26,2.4974999999999996,2.32,2025,26
三重県,A群溶血性レンサ球菌咽頭炎,2025-27,2.3675,2.18,2025,27
三重県,A群溶血性レンサ球菌咽頭炎,2025-28,2.295,2.23,2025,28
