"date","pref","category","value","year","week_label_clean"
"2023-05-14","和歌山県","新型コロナウイルス",1.35,2023,"5月8日～5月14日（2023年）"
"2023-05-21","和歌山県","新型コロナウイルス",1.78,2023,"5月15日～5月21日（2023年）"
"2023-05-28","和歌山県","新型コロナウイルス",2.67,2023,"5月22日～5月28日（2023年）"
"2023-06-04","和歌山県","新型コロナウイルス",2.78,2023,"5月29日～6月4日（2023年）"
"2023-06-11","和歌山県","新型コロナウイルス",3.73,2023,"6月5日～6月11日（2023年）"
"2023-06-18","和歌山県","新型コロナウイルス",4.45,2023,"6月12日～6月18日（2023年）"
"2023-06-25","和歌山県","新型コロナウイルス",5.18,2023,"6月19日～6月25日（2023年）"
"2023-07-02","和歌山県","新型コロナウイルス",7.33,2023,"6月26日～7月2日（2023年）"
"2023-07-09","和歌山県","新型コロナウイルス",10.2,2023,"7月3日～7月9日（2023年）"
"2023-07-16","和歌山県","新型コロナウイルス",14.43,2023,"7月10日～7月16日（2023年）"
"2023-07-23","和歌山県","新型コロナウイルス",17.39,2023,"7月17日～7月23日（2023年）"
"2023-07-30","和歌山県","新型コロナウイルス",17.43,2023,"7月24日～7月30日（2023年）"
"2023-08-06","和歌山県","新型コロナウイルス",16.53,2023,"7月31日～8月6日（2023年）"
"2023-08-13","和歌山県","新型コロナウイルス",16.77,2023,"8月7日～8月13日（2023年）"
"2023-08-20","和歌山県","新型コロナウイルス",17.8,2023,"8月14日～8月20日（2023年）"
"2023-08-27","和歌山県","新型コロナウイルス",14.67,2023,"8月21日～8月27日（2023年）"
"2023-09-03","和歌山県","新型コロナウイルス",16.96,2023,"8月28日～9月3日（2023年）"
"2023-09-10","和歌山県","新型コロナウイルス",14.96,2023,"9月4日～9月10日（2023年）"
"2023-09-17","和歌山県","新型コロナウイルス",13.1,2023,"9月11日～9月17日（2023年）"
"2023-09-24","和歌山県","新型コロナウイルス",9.53,2023,"9月18日～9月24日（2023年）"
"2023-10-01","和歌山県","新型コロナウイルス",8.47,2023,"9月25日～10月1日（2023年）"
"2023-10-08","和歌山県","新型コロナウイルス",4.84,2023,"10月2日～10月8日（2023年）"
"2023-10-15","和歌山県","新型コロナウイルス",3.55,2023,"10月9日～10月15日（2023年）"
"2023-10-22","和歌山県","新型コロナウイルス",4.24,2023,"10月16日～10月22日（2023年）"
"2023-10-29","和歌山県","新型コロナウイルス",2.43,2023,"10月23日～10月29日（2023年）"
"2023-11-05","和歌山県","新型コロナウイルス",2.29,2023,"10月30日～11月5日（2023年）"
"2023-11-12","和歌山県","新型コロナウイルス",1.49,2023,"11月6日～11月12日（2023年）"
"2023-11-19","和歌山県","新型コロナウイルス",1.51,2023,"11月13日～11月19日（2023年）"
"2023-11-26","和歌山県","新型コロナウイルス",1.88,2023,"11月20日～11月26日（2023年）"
