"date","pref","category","value","year","week_label_clean"
"2012-09-16","埼玉県","流行性角結膜炎",0.45,2012,"9月10日～9月16日（2012年）"
"2012-09-23","埼玉県","流行性角結膜炎",0.52,2012,"9月17日～9月23日（2012年）"
"2012-09-30","埼玉県","流行性角結膜炎",0.29,2012,"9月24日～9月30日（2012年）"
"2012-10-07","埼玉県","流行性角結膜炎",0.69,2012,"10月1日～10月7日（2012年）"
"2012-10-14","埼玉県","流行性角結膜炎",0.67,2012,"10月8日～10月14日（2012年）"
"2012-10-21","埼玉県","流行性角結膜炎",0.49,2012,"10月15日～10月21日（2012年）"
"2012-10-28","埼玉県","流行性角結膜炎",0.44,2012,"10月22日～10月28日（2012年）"
"2012-11-04","埼玉県","流行性角結膜炎",0.26,2012,"10月29日～11月4日（2012年）"
"2012-11-11","埼玉県","流行性角結膜炎",0.57,2012,"11月5日～11月11日（2012年）"
"2012-11-18","埼玉県","流行性角結膜炎",0.38,2012,"11月12日～11月18日（2012年）"
"2012-11-25","埼玉県","流行性角結膜炎",0.38,2012,"11月19日～11月25日（2012年）"
"2012-12-02","埼玉県","流行性角結膜炎",0.56,2012,"11月26日～12月2日（2012年）"
"2012-12-09","埼玉県","流行性角結膜炎",0.32,2012,"12月3日～12月9日（2012年）"
"2012-12-16","埼玉県","流行性角結膜炎",0.37,2012,"12月10日～12月16日（2012年）"
"2012-12-23","埼玉県","流行性角結膜炎",0.38,2012,"12月17日～12月23日（2012年）"
"2012-12-30","埼玉県","流行性角結膜炎",0.41,2012,"12月24日～12月30日（2012年）"
"2013-01-06","埼玉県","流行性角結膜炎",0.12,2013,"12月31日～1月6日（2013年）"
"2013-01-13","埼玉県","流行性角結膜炎",0.44,2013,"1月7日～1月13日（2013年）"
"2013-01-20","埼玉県","流行性角結膜炎",0.36,2013,"1月14日～1月20日（2013年）"
"2013-01-27","埼玉県","流行性角結膜炎",0.21,2013,"1月21日～1月27日（2013年）"
"2013-02-03","埼玉県","流行性角結膜炎",0.43,2013,"1月28日～2月3日（2013年）"
"2013-02-10","埼玉県","流行性角結膜炎",0.57,2013,"2月4日～2月10日（2013年）"
"2013-02-17","埼玉県","流行性角結膜炎",0.19,2013,"2月11日～2月17日（2013年）"
"2013-02-24","埼玉県","流行性角結膜炎",0.33,2013,"2月18日～2月24日（2013年）"
"2013-03-03","埼玉県","流行性角結膜炎",0.39,2013,"2月25日～3月3日（2013年）"
"2013-03-10","埼玉県","流行性角結膜炎",0.31,2013,"3月4日～3月10日（2013年）"
"2013-03-17","埼玉県","流行性角結膜炎",0.23,2013,"3月11日～3月17日（2013年）"
"2013-03-24","埼玉県","流行性角結膜炎",0.53,2013,"3月18日～3月24日（2013年）"
"2013-03-31","埼玉県","流行性角結膜炎",0.61,2013,"3月25日～3月31日（2013年）"
"2013-04-07","埼玉県","流行性角結膜炎",0.39,2013,"4月1日～4月7日（2013年）"
"2013-04-14","埼玉県","流行性角結膜炎",0.52,2013,"4月8日～4月14日（2013年）"
"2013-04-21","埼玉県","流行性角結膜炎",0.52,2013,"4月15日～4月21日（2013年）"
"2013-04-28","埼玉県","流行性角結膜炎",0.41,2013,"4月22日～4月28日（2013年）"
"2013-05-05","埼玉県","流行性角結膜炎",0.44,2013,"4月29日～5月5日（2013年）"
