"date","pref","category","value","year","week_label_clean"
"2012-09-16","大分県","インフルエンザ",0.05,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","咽頭結膜熱",0.31,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","A群溶血性レンサ球菌咽頭炎",1.44,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","感染性胃腸炎",7.42,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","水痘",0.44,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","手足口病",0.61,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","伝染性紅斑",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","突発性発しん",1.19,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","百日咳",0.14,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","ヘルパンギーナ",0.75,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","流行性耳下腺炎",1.89,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","急性出血性結膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","流行性角結膜炎",0.4,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","細菌性髄膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","無菌性髄膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","マイコプラズマ肺炎",0.64,2012,"9月10日～9月16日（2012年）"
"2012-09-16","大分県","クラミジア肺炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-23","大分県","インフルエンザ",0.02,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","咽頭結膜熱",0.14,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","A群溶血性レンサ球菌咽頭炎",0.47,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","感染性胃腸炎",4.92,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","水痘",0.64,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","手足口病",0.42,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","伝染性紅斑",0.03,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","突発性発しん",0.72,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","百日咳",0.11,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","ヘルパンギーナ",0.61,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","流行性耳下腺炎",0.78,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","急性出血性結膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","流行性角結膜炎",0.6,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","細菌性髄膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","無菌性髄膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","マイコプラズマ肺炎",1.09,2012,"9月17日～9月23日（2012年）"
"2012-09-23","大分県","クラミジア肺炎",0.09,2012,"9月17日～9月23日（2012年）"
"2012-09-30","大分県","インフルエンザ",0.02,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","咽頭結膜熱",0.11,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","A群溶血性レンサ球菌咽頭炎",1.31,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","感染性胃腸炎",5.92,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","水痘",0.47,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","手足口病",0.31,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","伝染性紅斑",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","突発性発しん",0.75,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","百日咳",0.03,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","ヘルパンギーナ",0.47,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","流行性耳下腺炎",1.67,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","急性出血性結膜炎",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","流行性角結膜炎",0.2,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","細菌性髄膜炎",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","無菌性髄膜炎",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","マイコプラズマ肺炎",0.64,2012,"9月24日～9月30日（2012年）"
"2012-09-30","大分県","クラミジア肺炎",0,2012,"9月24日～9月30日（2012年）"
"2012-10-07","大分県","インフルエンザ",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","咽頭結膜熱",0.08,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","A群溶血性レンサ球菌咽頭炎",1.14,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","感染性胃腸炎",5.44,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","水痘",0.86,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","手足口病",0.22,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","伝染性紅斑",0.03,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","突発性発しん",0.75,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","百日咳",0.08,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","ヘルパンギーナ",0.28,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","流行性耳下腺炎",1.31,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","急性出血性結膜炎",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","流行性角結膜炎",0.4,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","細菌性髄膜炎",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","無菌性髄膜炎",0.09,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","マイコプラズマ肺炎",0.45,2012,"10月1日～10月7日（2012年）"
"2012-10-07","大分県","クラミジア肺炎",0,2012,"10月1日～10月7日（2012年）"
"2012-10-14","大分県","インフルエンザ",0,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","咽頭結膜熱",0.28,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","A群溶血性レンサ球菌咽頭炎",1.44,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","感染性胃腸炎",5.69,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","水痘",0.56,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","手足口病",0.19,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","伝染性紅斑",0.06,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","突発性発しん",0.83,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","百日咳",0.06,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","ヘルパンギーナ",0.22,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","流行性耳下腺炎",1.5,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","急性出血性結膜炎",0,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","流行性角結膜炎",0,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","細菌性髄膜炎",0,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","無菌性髄膜炎",0,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","マイコプラズマ肺炎",0.45,2012,"10月8日～10月14日（2012年）"
"2012-10-14","大分県","クラミジア肺炎",0,2012,"10月8日～10月14日（2012年）"
"2012-10-21","大分県","インフルエンザ",0,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","咽頭結膜熱",0.11,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","A群溶血性レンサ球菌咽頭炎",1.31,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","感染性胃腸炎",6.61,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","水痘",0.94,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","手足口病",0.69,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","伝染性紅斑",0,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","突発性発しん",0.72,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","百日咳",0.06,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","ヘルパンギーナ",0.39,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","流行性耳下腺炎",2.53,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","急性出血性結膜炎",0,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","流行性角結膜炎",0.6,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","細菌性髄膜炎",0,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","無菌性髄膜炎",0,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","マイコプラズマ肺炎",0.73,2012,"10月15日～10月21日（2012年）"
"2012-10-21","大分県","クラミジア肺炎",0,2012,"10月15日～10月21日（2012年）"
"2012-10-28","大分県","インフルエンザ",0.03,2012,"10月22日～10月28日（2012年）"
"2012-10-28","大分県","咽頭結膜熱",0.28,2012,"10月22日～10月28日（2012年）"
"2012-10-28","大分県","A群溶血性レンサ球菌咽頭炎",1.53,2012,"10月22日～10月28日（2012年）"
"2012-10-28","大分県","感染性胃腸炎",7.75,2012,"10月22日～10月28日（2012年）"
"2012-10-28","大分県","水痘",0.72,2012,"10月22日～10月28日（2012年）"
"2012-10-28","大分県","手足口病",0.53,2012,"10月22日～10月28日（2012年）"
"2012-10-28","大分県","伝染性紅斑",0.06,2012,"10月22日～10月28日（2012年）"
