"date","pref","category","value","year","week_label_clean"
"2012-09-16","秋田県","インフルエンザ",0.02,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","咽頭結膜熱",0.37,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","A群溶血性レンサ球菌咽頭炎",0.46,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","感染性胃腸炎",2.37,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","水痘",0.37,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","手足口病",3.6,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","伝染性紅斑",0.03,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","突発性発しん",0.49,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","百日咳",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","ヘルパンギーナ",2.66,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","流行性耳下腺炎",0.17,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","急性出血性結膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","流行性角結膜炎",0.43,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","細菌性髄膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","無菌性髄膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","マイコプラズマ肺炎",1.13,2012,"9月10日～9月16日（2012年）"
"2012-09-16","秋田県","クラミジア肺炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-23","秋田県","インフルエンザ",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","咽頭結膜熱",0.31,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","A群溶血性レンサ球菌咽頭炎",0.26,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","感染性胃腸炎",2.03,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","水痘",0.17,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","手足口病",3.09,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","伝染性紅斑",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","突発性発しん",0.46,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","百日咳",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","ヘルパンギーナ",1.77,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","流行性耳下腺炎",0.23,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","急性出血性結膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","流行性角結膜炎",0.29,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","細菌性髄膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","無菌性髄膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","マイコプラズマ肺炎",0.75,2012,"9月17日～9月23日（2012年）"
"2012-09-23","秋田県","クラミジア肺炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-30","秋田県","インフルエンザ",0.05,2012,"9月24日～9月30日（2012年）"
"2012-09-30","秋田県","咽頭結膜熱",0.31,2012,"9月24日～9月30日（2012年）"
"2012-09-30","秋田県","A群溶血性レンサ球菌咽頭炎",0.23,2012,"9月24日～9月30日（2012年）"
"2012-09-30","秋田県","感染性胃腸炎",2.46,2012,"9月24日～9月30日（2012年）"
"2012-09-30","秋田県","水痘",0.49,2012,"9月24日～9月30日（2012年）"
"2012-09-30","秋田県","手足口病",2.97,2012,"9月24日～9月30日（2012年）"
