"date","pref","category","value","year","week_label_clean"
"2023-05-14","高知県","新型コロナウイルス",1.27,2023,"5月8日～5月14日（2023年）"
"2023-05-21","高知県","新型コロナウイルス",1.7,2023,"5月15日～5月21日（2023年）"
"2023-05-28","高知県","新型コロナウイルス",1.8,2023,"5月22日～5月28日（2023年）"
"2023-06-04","高知県","新型コロナウイルス",2.45,2023,"5月29日～6月4日（2023年）"
"2023-06-11","高知県","新型コロナウイルス",3.48,2023,"6月5日～6月11日（2023年）"
"2023-06-18","高知県","新型コロナウイルス",3.73,2023,"6月12日～6月18日（2023年）"
"2023-06-25","高知県","新型コロナウイルス",5.09,2023,"6月19日～6月25日（2023年）"
"2023-07-02","高知県","新型コロナウイルス",5.43,2023,"6月26日～7月2日（2023年）"
"2023-07-09","高知県","新型コロナウイルス",9.2,2023,"7月3日～7月9日（2023年）"
"2023-07-16","高知県","新型コロナウイルス",13.73,2023,"7月10日～7月16日（2023年）"
"2023-07-23","高知県","新型コロナウイルス",19.2,2023,"7月17日～7月23日（2023年）"
"2023-07-30","高知県","新型コロナウイルス",20.45,2023,"7月24日～7月30日（2023年）"
"2023-08-06","高知県","新型コロナウイルス",18.55,2023,"7月31日～8月6日（2023年）"
"2023-08-13","高知県","新型コロナウイルス",15.61,2023,"8月7日～8月13日（2023年）"
"2023-08-20","高知県","新型コロナウイルス",21.25,2023,"8月14日～8月20日（2023年）"
"2023-08-27","高知県","新型コロナウイルス",19.86,2023,"8月21日～8月27日（2023年）"
"2023-09-03","高知県","新型コロナウイルス",18.41,2023,"8月28日～9月3日（2023年）"
"2023-09-10","高知県","新型コロナウイルス",19.05,2023,"9月4日～9月10日（2023年）"
"2023-09-17","高知県","新型コロナウイルス",14.89,2023,"9月11日～9月17日（2023年）"
"2023-09-24","高知県","新型コロナウイルス",11.66,2023,"9月18日～9月24日（2023年）"
"2023-10-01","高知県","新型コロナウイルス",9.91,2023,"9月25日～10月1日（2023年）"
"2023-10-08","高知県","新型コロナウイルス",5.2,2023,"10月2日～10月8日（2023年）"
"2023-10-15","高知県","新型コロナウイルス",3.8,2023,"10月9日～10月15日（2023年）"
"2023-10-22","高知県","新型コロナウイルス",2.61,2023,"10月16日～10月22日（2023年）"
"2023-10-29","高知県","新型コロナウイルス",2.64,2023,"10月23日～10月29日（2023年）"
