"date","pref","category","value","year","week_label_clean"
"2012-09-16","鹿児島県","インフルエンザ",2.11,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","咽頭結膜熱",0.89,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","A群溶血性レンサ球菌咽頭炎",0.71,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","感染性胃腸炎",3.96,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","水痘",0.45,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","手足口病",0.76,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","伝染性紅斑",0.05,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","突発性発しん",0.53,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","百日咳",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","ヘルパンギーナ",1,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","流行性耳下腺炎",0.49,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","急性出血性結膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","流行性角結膜炎",1.86,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","細菌性髄膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","無菌性髄膜炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","マイコプラズマ肺炎",0.5,2012,"9月10日～9月16日（2012年）"
"2012-09-16","鹿児島県","クラミジア肺炎",0,2012,"9月10日～9月16日（2012年）"
"2012-09-23","鹿児島県","インフルエンザ",1.78,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","咽頭結膜熱",0.58,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","A群溶血性レンサ球菌咽頭炎",0.73,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","感染性胃腸炎",3.4,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","水痘",0.29,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","手足口病",0.67,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","伝染性紅斑",0.05,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","突発性発しん",0.55,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","百日咳",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","ヘルパンギーナ",0.47,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","流行性耳下腺炎",0.38,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","急性出血性結膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","流行性角結膜炎",1,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","細菌性髄膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","無菌性髄膜炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","マイコプラズマ肺炎",0.17,2012,"9月17日～9月23日（2012年）"
"2012-09-23","鹿児島県","クラミジア肺炎",0,2012,"9月17日～9月23日（2012年）"
"2012-09-30","鹿児島県","インフルエンザ",1.14,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","咽頭結膜熱",0.71,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","A群溶血性レンサ球菌咽頭炎",1.02,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","感染性胃腸炎",3.53,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","水痘",0.47,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","手足口病",1.38,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","伝染性紅斑",0.02,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","突発性発しん",0.76,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","百日咳",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","ヘルパンギーナ",0.4,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","流行性耳下腺炎",0.69,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","急性出血性結膜炎",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","流行性角結膜炎",2.29,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","細菌性髄膜炎",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","無菌性髄膜炎",0,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","マイコプラズマ肺炎",0.58,2012,"9月24日～9月30日（2012年）"
"2012-09-30","鹿児島県","クラミジア肺炎",0,2012,"9月24日～9月30日（2012年）"
"2012-10-07","鹿児島県","インフルエンザ",0.44,2012,"10月1日～10月7日（2012年）"
"2012-10-07","鹿児島県","咽頭結膜熱",0.6,2012,"10月1日～10月7日（2012年）"
"2012-10-07","鹿児島県","A群溶血性レンサ球菌咽頭炎",0.85,2012,"10月1日～10月7日（2012年）"
"2012-10-07","鹿児島県","感染性胃腸炎",3.58,2012,"10月1日～10月7日（2012年）"
"2012-10-07","鹿児島県","水痘",0.31,2012,"10月1日～10月7日（2012年）"
"2012-10-07","鹿児島県","手足口病",1.95,2012,"10月1日～10月7日（2012年）"
"2012-10-07","鹿児島県","伝染性紅斑",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","鹿児島県","突発性発しん",0.69,2012,"10月1日～10月7日（2012年）"
"2012-10-07","鹿児島県","百日咳",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","鹿児島県","ヘルパンギーナ",0.29,2012,"10月1日～10月7日（2012年）"
"2012-10-07","鹿児島県","流行性耳下腺炎",0.53,2012,"10月1日～10月7日（2012年）"
"2012-10-07","鹿児島県","急性出血性結膜炎",0,2012,"10月1日～10月7日（2012年）"
"2012-10-07","鹿児島県","流行性角結膜炎",1.14,2012,"10月1日～10月7日（2012年）"
"2012-10-07","鹿児島県","細菌性髄膜炎",0.08,2012,"10月1日～10月7日（2012年）"
"2012-10-07","鹿児島県","無菌性髄膜炎",0.08,2012,"10月1日～10月7日（2012年）"
