"category","pref","year_week","reference_date","current_ma4","baseline_ma4","ratio_heinen","alert_start","ratio_alert","ratio_wow","in_alert_level"
"A群溶血性レンサ球菌咽頭炎","三重県","2026-18","2026-05-03",1.995,2.089166666666667,0.95,8,0.25,1.1099,FALSE
"RSウイルス","三重県","2026-18","2026-05-03",0.5575,1.5258333333333334,0.37,NA,NA,0.7778,FALSE
"インフルエンザ","三重県","2026-18","2026-05-03",0.4475,2.1791666666666667,0.21,30,0.01,1.1364,FALSE
"ヘルパンギーナ","三重県","2026-18","2026-05-03",0.0525,0.028333333333333335,1.85,6,0.01,1.4,FALSE
"マイコプラズマ肺炎","三重県","2026-18","2026-05-03",0.1375,0.11083333333333334,1.24,NA,NA,1,FALSE
"伝染性紅斑","三重県","2026-18","2026-05-03",0.035,0.42333333333333334,0.08,2,0.02,0.4,FALSE
"咽頭結膜熱","三重県","2026-18","2026-05-03",0.3325,0.45,0.74,3,0.11,0.875,FALSE
"感染性胃腸炎","三重県","2026-18","2026-05-03",5.5249999999999995,5.5616666666666665,0.99,20,0.28,0.8562,FALSE
"感染性胃腸炎（ロタウイルス）","三重県","2026-18","2026-05-03",0.1375,0.04583333333333334,3,NA,NA,1,FALSE
"手足口病","三重県","2026-18","2026-05-03",0.030000000000000002,0.23916666666666667,0.13,5,0.01,2.5,FALSE
"新型コロナウイルス","三重県","2026-18","2026-05-03",0.3525,1.95875,0.18,NA,NA,0.9211,FALSE
"水痘","三重県","2026-18","2026-05-03",0.1625,0.13,1.25,2,0.08,1.1875,FALSE
"流行性耳下腺炎","三重県","2026-18","2026-05-03",0.0275,0.022500000000000003,1.22,6,0,1,FALSE
"流行性角結膜炎","三重県","2026-18","2026-05-03",0.21750000000000003,0.04833333333333333,4.5,8,0.03,0.5,FALSE
"無菌性髄膜炎","三重県","2026-18","2026-05-03",0,0.04583333333333334,0,NA,NA,NA,FALSE
"突発性発しん","三重県","2026-18","2026-05-03",0.3325,0.23,1.45,NA,NA,1.1277,FALSE
"細菌性髄膜炎","三重県","2026-18","2026-05-03",0,0.009166666666666667,0,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","京都府","2026-18","2026-05-03",3.86,1.7208333333333332,2.24,8,0.48,0.991,FALSE
"RSウイルス","京都府","2026-18","2026-05-03",0.175,1.355,0.13,NA,NA,0.9167,FALSE
"インフルエンザ","京都府","2026-18","2026-05-03",0.8375,1.0158333333333334,0.82,30,0.03,0.5513,FALSE
"ヘルパンギーナ","京都府","2026-18","2026-05-03",0.015,0.05666666666666667,0.26,6,0,NA,FALSE
"マイコプラズマ肺炎","京都府","2026-18","2026-05-03",0.36,0.24250000000000002,1.48,NA,NA,0.5088,FALSE
"伝染性紅斑","京都府","2026-18","2026-05-03",0.037500000000000006,0.41500000000000004,0.09,2,0.02,0,FALSE
